party,pc_code,pc_no,candidate,hex
BJP,S26,11,BHOJRAJ NAG,#ff944d
JMM,S27,1,VIJAY KUMAR HANSDAK,#337316
JMM,S27,2,NALIN SOREN,#337316
BJP,S27,3,NISHIKANT DUBEY,#ff944d
BJP,S27,4,KALI CHARAN SINGH,#ff944d
BJP,S27,5,ANNPURNA DEVI,#ff944d
AJSUP,S27,6,CHANDRA PRAKASH CHOUDHARY,#3A15F9
BJP,S27,7,DULU MAHATO,#ff944d
BJP,S27,8,SANJAY SETH,#ff944d
BJP,S27,9,BIDYUT BARAN MAHATO,#ff944d
JMM,S27,10,JOBA MAJHI,#337316
INC,S27,11,KALI CHARAN MUNDA,#19AAED
INC,S27,12,SUKHDEO BHAGAT,#19AAED
BJP,S27,13,VISHNU DAYAL RAM,#ff944d
BJP,S27,14,MANISH JAISWAL,#ff944d
BJP,S28,1,MALA RAJYA LAKSHMI SHAH,#ff944d
BJP,S28,2,ANIL BALUNI,#ff944d
BJP,S28,3,AJAY TAMTA,#ff944d
BJP,S28,4,AJAY BHATT,#ff944d
BJP,S28,5,TRIVENDRA SINGH RAWAT,#ff944d
BJP,S29,1,GODAM NAGESH,#ff944d
INC,S29,2,VAMSI KRISHNA GADDAM,#19AAED
BJP,S29,3,BANDI SANJAY KUMAR,#ff944d
BJP,S29,4,ARVIND DHARMAPURI,#ff944d
INC,S29,5,SURESH KUMAR SHETKAR,#19AAED
BJP,S29,6,MADHAVANENI RAGHUNANDAN RAO,#ff944d
BJP,S29,7,EATALA RAJENDER,#ff944d
BJP,S29,8,G. KISHAN REDDY,#ff944d
AIMIM,S29,9,ASADUDDIN OWAISI,#00664d
BJP,S29,10,KONDA VISHWESHWAR REDDY,#ff944d
BJP,S29,11,ARUNA. D. K,#ff944d
INC,S29,12,DR.MALLU RAVI,#19AAED
INC,S29,13,KUNDURU RAGHUVEER,#19AAED
INC,S29,14,CHAMALA KIRAN KUMAR REDDY,#19AAED
INC,S29,15,KADIYAM KAVYA,#19AAED
INC,S29,16,BALRAM NAIK PORIKA,#19AAED
INC,S29,17,RAMASAHAYAM RAGHURAM REDDY,#19AAED
BJP,U01,1,BISHNU PADA RAY,#ff944d
INC,U02,1,MANISH TEWARI,#19AAED
IND,U03,1,PATEL UMESHBHAI BABUBHAI,#8bb036
BJP,U03,2,DELKAR KALABEN MOHANBHAI,#ff944d
BJP,U05,1,PRAVEEN KHANDELWAL,#ff944d
BJP,U05,2,MANOJ TIWARI,#ff944d
BJP,U05,3,HARSH MALHOTRA,#ff944d
BJP,U05,4,BANSURI SWARAJ,#ff944d
BJP,U05,5,YOGENDER CHANDOLIYA,#ff944d
BJP,U05,6,KAMALJEET SEHRAWAT,#ff944d
BJP,U05,7,RAMVIR SINGH BIDHURI,#ff944d
INC,U06,1,MUHAMMED HAMDULLAH SAYEED,#19AAED
INC,U07,1,VE VAITHILINGAM,#19AAED
IND,U08,1,ABDUL RASHID SHEIKH,#8bb036
JKN,U08,2,AGA SYED RUHULLAH MEHDI,#1094D3
JKN,U08,3,MIAN ALTAF AHMAD,#1094D3
BJP,U08,4,DR JITENDRA SINGH,#ff944d
BJP,U08,5,JUGAL KISHORE,#ff944d
IND,U09,1,MOHMAD HANEEFA,#8bb036
